                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      1,                      1,                      0,             0.00023359,             0.00023359,             0.00023359
                      2,                      0,                      1,                      1,                      0,             0.00046226,             0.00046226,             0.00046226
                      3,                      0,                      1,                      1,                      0,             0.00068149,             0.00068149,             0.00068149
                      4,                      0,                      1,                      1,                      0,             0.00067159,             0.00067159,             0.00067159
                      5,                      0,                      1,                      1,                      0,             0.00065745,             0.00065745,             0.00065745
                      6,                      0,                      1,                      1,                      0,             0.00064331,             0.00064331,             0.00064331
                      7,                      0,                      1,                      1,                      0,             0.00062918,             0.00062918,             0.00062918
                      8,                      0,                      1,                      1,                      0,             0.00061504,             0.00061504,             0.00061504
                      9,                      0,                      1,                      1,                      0,              0.0006009,              0.0006009,              0.0006009
                     10,                      0,                      1,                      1,                      0,             0.00058677,             0.00058677,             0.00058677
                     11,                      0,                      1,                      1,                      0,             0.00057263,             0.00057263,             0.00057263
                     12,                      0,                      1,                      1,                      0,             0.00055849,             0.00055849,             0.00055849
                     13,                      0,                      1,                      1,                      0,             0.00054435,             0.00054435,             0.00054435
                     14,                      0,                      1,                      1,                      0,             0.00053022,             0.00053022,             0.00053022
                     15,                      0,                      1,                      1,                      0,             0.00051608,             0.00051608,             0.00051608
                     16,                      0,                      1,                      1,                      0,             0.00050194,             0.00050194,             0.00050194
                     17,                      0,                      1,                      1,                      0,              0.0004878,              0.0004878,              0.0004878
                     18,                      0,                      1,                      1,                      0,             0.00047367,             0.00047367,             0.00047367
                     19,                      0,                      1,                      1,                      0,             0.00045953,             0.00045953,             0.00045953
                     20,                      0,                      1,                      1,                      0,             0.00044539,             0.00044539,             0.00044539
                     21,                      0,                      1,                      1,                      0,             0.00043126,             0.00043126,             0.00043126
                     22,                      0,                      1,                      1,                      0,             0.00041712,             0.00041712,             0.00041712
                     23,                      0,                      1,                      1,                      0,             0.00040298,             0.00040298,             0.00040298
                     24,                      0,                      1,                      1,                      0,             0.00038884,             0.00038884,             0.00038884
                     25,                      0,                      1,                      1,                      0,             0.00037471,             0.00037471,             0.00037471
                     26,                      0,                      1,                      1,                      0,             0.00036057,             0.00036057,             0.00036057
                     27,                      0,                      1,                      1,                      0,             0.00034643,             0.00034643,             0.00034643
                     28,                      0,                      1,                      1,                      0,              0.0003323,              0.0003323,              0.0003323
                     29,                      0,                      1,                      1,                      0,             0.00031816,             0.00031816,             0.00031816
                     30,                      0,                      1,                      1,                      0,             0.00030402,             0.00030402,             0.00030402
                     31,                      0,                      1,                      1,                      0,             0.00028988,             0.00028988,             0.00028988
                     32,                      0,                      1,                      1,                      0,             0.00027575,             0.00027575,             0.00027575
                     33,                      0,                      1,                      1,                      0,             0.00026161,             0.00026161,             0.00026161
                     34,                      0,                      1,                      1,                      0,             0.00024747,             0.00024747,             0.00024747
                     35,                      0,                      1,                      1,                      0,             0.00023334,             0.00023334,             0.00023334
                     36,                      0,                      1,                      1,                      0,              0.0002192,              0.0002192,              0.0002192
                     37,                      0,                      1,                      1,                      0,             0.00020506,             0.00020506,             0.00020506
                     38,                      0,                      1,                      1,                      0,             0.00019092,             0.00019092,             0.00019092
                     39,                      0,                      1,                      1,                      0,             0.00017679,             0.00017679,             0.00017679
                     40,                      0,                      1,                      1,                      0,             0.00016265,             0.00016265,             0.00016265
                     41,                      0,                      1,                      1,                      0,             0.00014851,             0.00014851,             0.00014851
                     42,                      0,                      1,                      1,                      0,             0.00013437,             0.00013437,             0.00013437
                     43,                      0,                      1,                      1,                      0,             0.00012024,             0.00012024,             0.00012024
                     44,                      0,                      1,                      1,                      0,              0.0001061,              0.0001061,              0.0001061
                     45,                      0,                      1,                      1,                      0,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                      0,                      1,                      1,                      0,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                      0,                      1,                      1,                      0,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                      0,                      1,                      1,                      0,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                      0,                      1,                      1,                      0,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                      0,                      1,                      1,                      0,             2.1277e-05,             2.1277e-05,             2.1277e-05
